"name","title","company_name"
"Sarah Melville","Media Director at YouGov Sport","YouGov Sport"
"Charmagne Cruz","Head of Reporting & Analytics, Business Technologies and Pricing at Shopee Philippines Inc.","Shopee"
"George Koutsoudopoulos","CEO at tgndata","tgndata"
"Yorgos Panzaris","CTO at Convert Group","Convert Group"
"Cheddi Rai","CEO at AdRetreaver","AdRetreaver"
"David Barros","Data Scientist at Worten","Worten"
"David PatiÃ±o Montoya","Data Engineer at Shopee Colombia","Shopee Colombia"
"Tariq Al Hosani","CEO at Zero Gravity Solutions","Zero Gravity Solutions"
"Francisc Czobor","Product owner at Cars2click","Cars2click"
"Andrei Yaromenko","SEO Tech Lead","SEO Tech Lead"
"Clint Ruch","Senior Vice President of Engineering at Key Holdings","Key Holdings"
"Poompatai Puntitpong","Software Engineer at Manatal","Manatal"
"Sergii Klius","Co-Founder at DataOx","DataOx"
"Poompatai Puntitpong","Software Engineer at Manatal","Manatal"
"Sergii Klius","Co-Founder at DataOx","DataOx"
"Edward Nguyen","Senior Data Scientist at Shopee Vietnam","Shopee Vietnam"
"Mattan Benyamini","Data Analyst Team Lead at Windward","Windward"
"David Wang","Senior Data Engineer at Reejig","Reejig"
"Eduarda Ballester Dias","Head of Finance at Axur","Axur"
"Irwan Djoehana","Founder at Retail Shake","Retail Shake"
"Shraddha Bhattad","Software Development Engineer II at CommerceIQ","CommerceIQ"
"Rick McGraw","CEO at Black Oak Analytics",""
"Elodie Read","Program Lead at The Climate Subak","The Climate Subak"
"Ben Nelmes","Co-founder & Head of Policy at New Automotive","New Automotive"
"David AmÃ©zquita","Product Manager at Container xChange","Container xChange"
"Riccardo Fuzzi","CEO & Founder at MyAppFree","MyAppFree"
"Diego Meneses","Executive Director, Colombia at Automation Empire","Automation Empire"
"Lenilson Porath","CTO at Effecti","Effecti"
"Misaki Sugawara","CEO/CTO at butinuki Co., Ltd.","butinuki Co."
"Thomas Dillon","Legal Counsellor, WIPO","WIPO"
"Vivek Amilkanthawar","CTO at HRog","HRog"
"Dori Stein","CEO at Fornova","Fornova"
"Nevo David","CEO at Linvo","Linvo"
"Fan Jin","Founder and Software Developer at Shengsoft Technologies","Shengsoft Technologies"
"Mark O’Hara","Founder at THRIFT","THRIFT"
"Todd Wilson","President at screen-scraper","screen-scraper"
"Edan Krolewicz","Founder at ExactBuyer","ExactBuyer"
"Aaron Cowper","Founder, CEO at ShopGrok","ShopGrok"
"Tim Lam","National Technology Director at Canopy, Advantage Solutions","Canopy"
"Andries Mooij","CTO at Superscanner","Superscanner"
"Jan ÄŒurn","CEO at Apify","Apify"
"Juan Galdeano","CTO at Red Points","Red Points"
"Keith Amirault","Manager at Cervello, an A.T Kearney Company","Cervello"
"Amir Mendelson","Founder of PowerDrop","PowerDrop"
"Ludek Skaroupka","Scrum Master at Dataweps","Dataweps"
"Glenn Miseroy","Founder and CTO at LeadExpress","LeadExpress"
"Edison Xhaqkaj","CTO at Cikisi","Cikisi"
"Evyatar Korlanski","Product manager at JDC Tevet","JDC Tevet"
"Marina Darlow","Project Lead, Sprint COVID-19",""
"Neal Barsch","Founder, tenfourWest","tenfourWest"
"Brian Chen","Co-founder of GrocerCheck","GrocerCheck"
"Yael Fridman","Marketing Director at Keter","Keter"
"Jonathan Lo","Director of Customer Strategy & Insights at Overstock","Overstock"
"Dave Walsh","Co-founder and CEO of Mathison","Mathison"
"Roman Hussy","Founder of Abuse.ch","Abuse.ch"
"Ronen Yuval-Hoch","Co-Founder & COO at Karma (formerly Shoptagr)","Karma (formerly Shoptagr)"
"Surovyi Viacheslav","Co-founder and CEO of ZenMarket Inc.","ZenMarket Inc."
"Rich Klina","Minimum Advertised Pricing Director/ Front-end Manager at Avalanche Industries","Avalanche Industries"
"Peter Clerborn","Peter Clerborn, Founding Partner at Detail Online","Detail Online"
"Greg Urquhart & Jordan Dick","Greg Urquhart, CTO, & Jordan Dick, Director of Engineering at e.fundamentals","e.fundamentals"
"Donát Borsódi","Founder and CEO at GreyMatter Ltd.","GreyMatter Ltd."
"Hrishabh Sanghvi","Co-founder and CTO at Railofy","Railofy"
"Carl Hendy","Co-owner of Reddico","Reddico"
"Pavel Vlasov","CTO & Co-founder of AppFollow","AppFollow"
"Le Dinh Tuan","CEO at Faber Vietnam","Faber Vietnam"
"Alessio Cantoro","CMO at Immobiliare.it","Immobiliare.it"
"David Newell","Founder of FindAShot.org","FindAShot.org"
"Tejpal Virdi","Founder and CEO at Sideman","Sideman"
"Tom Hogans","CTO at RealArb","RealArb"
"Andrew Sudbury","CTO and Co-founder of Abine Inc.","Abine Inc."
"Norbert Kardos","Founder and CTO at Post for Rent","Post for Rent"